country_name,week,category,weekly_rank,show_title,cumulative_weeks_in_top_10
Argentina,2023-12-31,Films,1,Rebel Moon — Part One: A Child of Fire,2
Argentina,2023-12-31,Films,2,The Boss Baby: Family Business,1
Argentina,2023-12-31,Films,3,Norma,2
Argentina,2023-12-31,Films,4,The Book of Life,1
Argentina,2023-12-31,Films,5,Leave the World Behind,4
Argentina,2023-12-31,Films,6,Pretty Woman,1
Argentina,2023-12-31,Films,7,Good Will Hunting,2
Argentina,2023-12-31,Films,8,Permitidos,2
Argentina,2023-12-31,Films,9,How the Grinch Stole Christmas,3
Argentina,2023-12-31,Films,10,Gone Baby Gone,2
Argentina,2023-12-31,TV,1,Berlin,1
Argentina,2023-12-31,TV,2,The Manny,1
Argentina,2023-12-31,TV,3,Captains of the World,1
Argentina,2023-12-31,TV,4,My Life With the Walter Boys,4
Argentina,2023-12-31,TV,5,True Beauty,3
Argentina,2023-12-31,TV,6,High Tides,3
Argentina,2023-12-31,TV,7,The Crown,6
Argentina,2023-12-31,TV,8,A Nearly Normal Family,6
Argentina,2023-12-31,TV,9,Gyeongseong Creature,1
Argentina,2023-12-31,TV,10,My Demon,5
Argentina,2023-12-24,Films,1,Leave the World Behind,3
Argentina,2023-12-24,Films,2,Rebel Moon — Part One: A Child of Fire,1
Argentina,2023-12-24,Films,3,Un Dia En El Paraiso,1
Argentina,2023-12-24,Films,4,Norma,1
Argentina,2023-12-24,Films,5,Chicken Run: Dawn of the Nugget,2
Argentina,2023-12-24,Films,6,The Marine,1
Argentina,2023-12-24,Films,7,Gone Baby Gone,1
Argentina,2023-12-24,Films,8,Good Will Hunting,1
Argentina,2023-12-24,Films,9,The Lost City,2
Argentina,2023-12-24,Films,10,Permitidos,1
Argentina,2023-12-24,TV,1,My Life With the Walter Boys,3
Argentina,2023-12-24,TV,2,High Tides,2
Argentina,2023-12-24,TV,3,The Crown,5
Argentina,2023-12-24,TV,4,True Beauty,2
Argentina,2023-12-24,TV,5,Yu Yu Hakusho,2
Argentina,2023-12-24,TV,6,A Nearly Normal Family,5
Argentina,2023-12-24,TV,7,Yellowjackets,1
Argentina,2023-12-24,TV,8,The Influencer,1
Argentina,2023-12-24,TV,9,My Demon,4
Argentina,2023-12-24,TV,10,Blood Coast,3
Argentina,2023-12-17,Films,1,Leave the World Behind,2
Argentina,2023-12-17,Films,2,El Amor Menos Pensado,1
Argentina,2023-12-17,Films,3,Old,1
Argentina,2023-12-17,Films,4,The Lost City,1
Argentina,2023-12-17,Films,5,Women on the Edge,3
Argentina,2023-12-17,Films,6,Leo,4
Argentina,2023-12-17,Films,7,Nobody,2
Argentina,2023-12-17,Films,8,Blood Vessel,1
Argentina,2023-12-17,Films,9,Underwater,1
Argentina,2023-12-17,Films,10,Chicken Run: Dawn of the Nugget,1
Argentina,2023-12-17,TV,1,My Life With the Walter Boys,2
Argentina,2023-12-17,TV,2,High Tides,1
Argentina,2023-12-17,TV,3,True Beauty,1
Argentina,2023-12-17,TV,4,A Nearly Normal Family,4
Argentina,2023-12-17,TV,5,The Crown,4
Argentina,2023-12-17,TV,6,Blood Coast,2
Argentina,2023-12-17,TV,7,Yu Yu Hakusho,1
Argentina,2023-12-17,TV,8,World War II: From the Frontlines,2
Argentina,2023-12-17,TV,9,Obliterated,3
Argentina,2023-12-17,TV,10,My Demon,3
Argentina,2023-12-10,Films,1,Leave the World Behind,1
Argentina,2023-12-10,Films,2,Women on the Edge,2
Argentina,2023-12-10,Films,3,Nobody,1
Argentina,2023-12-10,Films,4,Leo,3
